"代號","名稱","市場","股價日期","當日走勢","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","PER","PBR","一個月走勢圖","三個月走勢圖","半年走勢圖","一年走勢圖","三年走勢圖"
="3266","昇陽","市","06/23","    ","11.55","0","0%","22","0.26","11.55","11.55","11.55","11.45","96.2","0.81","    ","    ","    ","    ","    "
="3296","勝德","市","06/23","    ","18.1","+0.05","+0.28%","67","1.21","18.05","18.05","18.2","17.95","13.8","1.16","    ","    ","    ","    ","    "
="3305","昇貿","市","06/23","    ","31.8","0","0%","175","5.57","31.8","31.95","31.95","31.7","17.9","0.97","    ","    ","    ","    ","    "
="3308","聯德","市","06/23","    ","7.57","+0.01","+0.13%","47","0.35","7.56","7.67","7.68","7.4","","0.7","    ","    ","    ","    ","    "
="3311","閎暉","市","06/23","    ","18.25","-0.15","-0.82%","1,628","29.9","18.4","18.45","18.6","18.2","","0.88","    ","    ","    ","    ","    "
="3312","弘憶股","市","06/23","    ","7.09","-0.03","-0.42%","315","2.24","7.12","7.12","7.24","7.08","16.1","0.68","    ","    ","    ","    ","    "
="3315","宣昶","市","06/23","    ","26.6","+0.05","+0.19%","113","3","26.55","26.55","26.6","26.55","66.5","1.19","    ","    ","    ","    ","    "
="3321","同泰","市","06/23","    ","11.85","-0.05","-0.42%","76","0.9","11.9","11.95","11.95","11.85","","0.96","    ","    ","    ","    ","    "
="3338","泰碩","市","06/23","    ","30.8","+0.05","+0.16%","84","2.58","30.75","30.85","30.85","30.65","13.5","2.01","    ","    ","    ","    ","    "
="3346","麗清","市","06/23","    ","88.7","+0.5","+0.57%","1,620","146","88.2","88.2","91.5","88","23","4.46","    ","    ","    ","    ","    "
="3356","奇偶","市","06/23","    ","40.7","+0.05","+0.12%","168","6.83","40.65","40.8","40.9","40.3","","1.91","    ","    ","    ","    ","    "
="3376","新日興","市","06/23","    ","102.5","+0.5","+0.49%","1,260","129","102","102.5","104","101.5","18.7","1.57","    ","    ","    ","    ","    "
="3380","明泰","市","06/23","    ","27.5","-0.85","-3%","9,684","268","28.35","28.15","28.25","27.4","17","1.4","    ","    ","    ","    ","    "
="3383","新世紀","市","06/23","    ","2.84","+0.03","+1.07%","217","0.6","2.81","2.76","2.85","2.75","","0.62","    ","    ","    ","    ","    "
="3406","玉晶光","市","06/23","    ","312.5","+0.5","+0.16%","7,232","2,293","312","318","321","312.5","183","5.09","    ","    ","    ","    ","    "
="3413","京鼎","市","06/23","    ","156.5","-4.5","-2.8%","1,500","238","161","160","161.5","156.5","15.4","3.92","    ","    ","    ","    ","    "
="3416","融程電","市","06/23","    ","58.8","-0.1","-0.17%","145","8.52","58.9","58.9","59.3","58.5","21.3","2.15","    ","    ","    ","    ","    "
="3419","譁裕","市","06/23","    ","21.7","-0.3","-1.36%","1,653","35.6","22","22.05","22.05","21.25","17.8","1.61","    ","    ","    ","    ","    "
="3432","台端","市","06/23","    ","14.65","-0.2","-1.35%","1,096","16","14.85","14.55","14.9","14.4","","0.73","    ","    ","    ","    ","    "
="3437","榮創","市","06/23","    ","36.1","+0.1","+0.28%","3,021","109","36","36.45","36.55","35.6","516","1.58","    ","    ","    ","    ","    "
="3443","創意","市","06/23","    ","122.5","-2.5","-2%","1,481","183","125","125","125","122","30.7","4.31","    ","    ","    ","    ","    "
="3450","聯鈞","市","06/23","    ","139.5","-1","-0.71%","654","90.9","140.5","140","140","138.5","15.3","3.95","    ","    ","    ","    ","    "
="3454","晶睿","市","06/23","    ","85.1","-0.2","-0.23%","404","34.4","85.3","85.8","85.8","84.9","14.3","2.44","    ","    ","    ","    ","    "
="3481","群創","市","06/23","    ","15.25","+0.2","+1.33%","138,539","2,114","15.05","15.1","15.4","15.05","6.81","0.64","    ","    ","    ","    ","    "
="3494","誠研","市","06/23","    ","11.15","+0.2","+1.83%","674","7.5","10.95","10.95","11.3","10.95","","0.94","    ","    ","    ","    ","    "
="3501","維熹","市","06/23","    ","53.2","-0.2","-0.37%","146","7.76","53.4","53.5","53.6","53.1","10.1","1.13","    ","    ","    ","    ","    "
="3504","揚明光","市","06/23","    ","34.55","-0.45","-1.29%","354","12.3","35","35.5","35.5","34.5","","1.16","    ","    ","    ","    ","    "
="3514","昱晶","市","06/23","    ","16.3","+0.1","+0.62%","3,691","60.7","16.2","16.5","16.65","16.3","","0.74","    ","    ","    ","    ","    "
="3515","華擎","市","06/23","    ","60.3","-0.7","-1.15%","320","19.4","61","61","61.6","60.1","39.2","1.26","    ","    ","    ","    ","    "
="3518","柏騰","市","06/23","    ","22.1","+0.15","+0.68%","97","2.14","21.95","21.95","22.2","21.85","","0.81","    ","    ","    ","    ","    "
="3519","綠能","市","06/23","    ","14.9","0","0%","1,324","19.8","14.9","15","15.15","14.9","","1.28","    ","    ","    ","    ","    "
="3528","安馳","市","06/23","    ","34.85","-0.15","-0.43%","103","3.59","35","35.1","35.1","34.8","14.3","1.53","    ","    ","    ","    ","    "
="3532","台勝科","市","06/23","    ","78.8","-1.8","-2.23%","1,026","81.4","80.6","80.9","81.1","78.7","68.5","3.01","    ","    ","    ","    ","    "
="3533","嘉澤","市","06/23","    ","135.5","-2.5","-1.81%","947","129","138","137","137.5","135","15.7","1.64","    ","    ","    ","    ","    "
="3535","晶彩科","市","06/23","    ","13.05","-0.1","-0.76%","335","4.41","13.15","13.2","13.4","13.05","","1.18","    ","    ","    ","    ","    "
="3536","誠創","市","06/23","    ","20.85","-0.1","-0.48%","2,796","58","20.95","21","21.15","20.55","53.5","3.97","    ","    ","    ","    ","    "
="3545","敦泰","市","06/23","    ","33.8","-0.3","-0.88%","1,300","44.2","34.1","34.1","34.4","33.8","32.8","0.9","    ","    ","    ","    ","    "
="3550","聯穎","市","06/23","    ","17.35","0","0%","36","0.62","17.35","17.35","17.4","17.3","12.8","0.76","    ","    ","    ","    ","    "
="3557","嘉威","市","06/23","    ","5.04","+0.02","+0.4%","109","0.55","5.02","5.02","5.1","5.02","","0.98","    ","    ","    ","    ","    "
="3559","全智科","市","06/23","    ","23.75","-0.05","-0.21%","21","0.51","23.8","23.8","23.8","23.75","18.6","1.41","    ","    ","    ","    ","    "
="3561","昇陽光電","市","06/23","    ","12.8","+0.15","+1.19%","2,102","27.1","12.65","12.9","13","12.75","","0.7","    ","    ","    ","    ","    "
="3576","新日光","市","06/23","    ","14.85","+0.2","+1.37%","14,139","211","14.65","14.9","15.1","14.75","","1.04","    ","    ","    ","    ","    "
